time,EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8,EEG9,EEG10,EEG11,EEG12,EEG13,EEG14,EEG15,EEG16
0.0,11.838809927297898,28.18215175186078,49.96218916973149,79.98029939537108,102.40996594050821,124.32065244652986,336.9141774472106,353.01836632662264,475.9552095482726,492.63203221586855,415.12515512788343,495.06772686632786,644.7083353921943,631.313140422672,580.1494067498132,468.58685321908393
0.004,13.398787731328074,33.517321468630826,60.839667046522806,88.22397725867567,112.60158186796944,168.2248431310766,314.8994167141972,296.76632226402734,316.3349309581289,281.81090875602274,178.36508624840354,71.5526272864036,-35.10960147203721,10.628627675623477,-120.03247724710326,-214.9203450304264
0.008,15.240942966680818,39.92351649196148,74.39751906930343,103.4984823219607,116.48618813035125,112.2910578234274,95.9965343867448,50.48688507183001,18.529756215030446,-13.560940783021607,17.43248095938047,27.219701043388653,70.86374591821553,70.33529294150814,159.2572653201387,181.7205432538647
0.012,16.577217513913276,42.74314916557899,75.64255907195576,88.57891368846751,77.96562328331174,51.376949055560736,0.5181523566192112,-37.20685144119817,-25.375865288861874,6.551870884372178,74.53987937199615,141.99497050667583,225.88401426391331,222.83672818653332,254.23006770719036,333.3861170636939
0.016,18.44170326669889,49.759067143058274,73.62172865039157,68.13730968046441,33.326917058298164,-18.068372069938576,4.464239335415627,-35.71199439657943,67.29555629613185,157.13715975715718,315.8310496027757,225.63954226408174,252.49981896355675,137.59467582412282,-27.01538591971925,-169.61713357575564
0.02,19.789702381310903,45.53739868209141,56.18814401107534,38.85914641493965,4.674070796901624,-18.986486051833722,-6.768981301253106,92.62967065478205,225.57374936657862,204.95482493377614,220.82165786090326,98.57253876833795,-31.86839048552355,7.30872158280124,31.179832608013513,226.1691983441532
0.024,20.691974132137332,46.95212300228931,46.54693383885463,13.853831130797968,-12.051769766727773,0.9395880170488056,88.55106219239117,144.93698828941695,241.42215228923146,132.4964702358499,-2.961155304706608,-13.362715456408608,-5.2172721615654325,223.24933272027073,366.8637794647269,340.07600010623287
0.028,22.30690413777846,46.12138299177816,31.166255356715563,-4.515963823107526,-11.674458834209311,59.871180408154075,185.86934162644434,193.37010577533812,86.7440507742325,-18.12481020465745,-17.6536550601933,125.00021922647579,368.091976142847,374.43407277454173,145.4373085831488,-20.87683036634155
0.032,22.259034344012463,42.75644372544323,13.928863449361423,-13.788219704643893,26.40778293222747,115.00862535159266,171.63707741548907,81.96985907154233,19.939131875307623,-34.76082063942408,139.47416461582472,366.77629550129416,162.18327854371122,70.6999657751633,66.30645706864753,158.59216142075448
0.036,23.968290399363266,36.13022861423477,3.510983279314548,-12.400903780813572,63.117421558604086,161.51960198354834,111.56444546464488,-21.860448489574708,-35.565662822845084,157.3903993882206,302.08471640267055,137.56625423879464,-108.92613924882144,65.10583561932957,229.91074896464602,402.81107003295176
0.04,24.104384095738347,28.950820580903965,-10.903968431286827,8.510570261056422,102.21650853735154,130.09312681733257,12.874666621523687,-36.740455137379044,115.50512784699858,276.83959388757415,110.30680044438637,-90.34455927979829,94.97328884762707,254.2606788651496,323.63017584509805,81.75996823865837
0.044,24.281769344953567,22.092188654822902,-14.813426119011801,33.2849668569852,116.55064877713357,70.58051346619307,-59.02806582028259,63.58598308205055,246.07125701528744,129.39737200049456,-11.009233961098332,90.98446940722006,408.59699846644565,159.77186803547826,-44.714769748584445,119.83603257574404
0.048,24.429909429718002,14.579525832412422,-6.3484508404702495,58.57471009984312,126.74886429303908,17.65056125278592,-7.300254488696638,144.00147327172212,161.72502223143687,-52.40283605490248,63.14905111693534,297.83309100102696,140.35504973930415,-92.2083449760139,162.39361079626025,551.0978894115894
0.052,24.55260050639488,9.345797827654547,-2.238884600310925,80.96597415578623,85.18263565877385,-6.9696269447727985,75.74090044380723,170.321706125949,5.9033391214627216,-40.026500443925414,255.5847501380343,199.148276709235,-112.8974554271957,152.12802157392943,304.8275172577606,49.669883864150194
0.056,23.216184961520916,3.3309494754920443,11.649791872222462,84.85667812093783,37.15903683481699,-1.1249045923534524,152.06826579540885,121.14766517151017,-20.450946888207554,190.79320987700095,262.2372774649198,39.02228635634374,124.67301449515558,334.2436232326663,15.433792691438214,25.10756377172902
